Bank,Row,Col,Data,10000
1,832,82,fffffffffffffbff
1,3272,243,7fffffffffffffff
1,3993,358,fffffffffffeffff
1,4920,273,fffffffbffffffff
1,5007,870,fffffffffbffffff
1,5866,587,fffffffffeffffff
1,5967,361,fffffffffffff7ff
1,7292,128,fffdffffffffffff
1,7292,132,fffdffffffffffff
1,8760,1014,fffdffffffffffff
1,9024,82,fffffffffffffbff
1,10768,34,ffffffffffffdfff
1,11037,302,fffffffffffffffe
1,11464,243,7fffffffffffffff
1,11582,74,ffbfffffffffffff
1,11844,671,fffffffffffffeff
1,11849,67,fffffffffdffffff
1,13112,273,fffffffbffffffff
1,13199,870,fffffffffbffffff
1,13313,289,fffeffffffffffff
1,13665,789,ffffffffffdfffff
1,14058,587,fffffffffeffffff
1,15484,128,fffdffffffffffff
1,15484,132,fffdffffffffffff
1,16952,1014,fffdffffffffffff
1,17216,82,fffffffffffffbff
1,18960,34,ffffffffffffdfff
1,19229,302,fffffffffffffffe
1,19656,243,7fffffffffffffff
1,19774,74,ffbfffffffffffff
1,21304,273,fffffffbffffffff
1,21391,870,fffffffffbffffff
1,21505,289,fffeffffffffffff
1,21857,789,ffffffffffdfffff
1,22250,587,fffffffffeffffff
1,22351,361,fffffffffffff7ff
1,23470,557,fffffdffffffffff
1,23676,128,fffdffffffffffff
1,23676,132,fffdffffffffffff
1,25144,1014,fffdffffffffffff
1,25408,82,fffffffffffffbff
1,27152,34,ffffffffffffdfff
1,27421,302,fffffffffffffffe
1,27848,243,7fffffffffffffff
1,27966,74,ffbfffffffffffff
1,29496,273,fffffffbffffffff
1,29583,870,fffffffffbffffff
1,29697,289,fffeffffffffffff
1,30442,587,fffffffffeffffff
1,30543,361,fffffffffffff7ff
1,31868,128,fffdffffffffffff
1,31868,132,fffdffffffffffff
