tRCD in ns,retention,FehlerAbs,FehlerProzent
3.33333,0,310,0.00473022
6.66667,0,0,0
10,0,0,0
13.3333,0,0,0
16.6667,0,0,0
20,0,0,0
23.3333,0,0,0
26.6667,0,0,0
3.33333,20,10051,0.153366
6.66667,20,73,0.00111389
10,20,56,0.000854492
13.3333,20,71,0.00108337
16.6667,20,61,0.000930786
20,20,63,0.000961304
23.3333,20,68,0.0010376
26.6667,20,58,0.00088501
3.33333,40,663,0.0101166
6.66667,40,591,0.00901794
10,40,601,0.00917053
13.3333,40,664,0.0101318
16.6667,40,631,0.0096283
20,40,641,0.00978088
23.3333,40,761,0.0116119
26.6667,40,659,0.0100555
3.33333,60,8278,0.126312
6.66667,60,2106,0.032135
10,60,2109,0.0321808
13.3333,60,2235,0.0341034
16.6667,60,2232,0.0340576
20,60,2370,0.0361633
23.3333,60,2275,0.0347137
26.6667,60,2380,0.0363159
3.33333,80,4532,0.0691528
6.66667,80,4577,0.0698395
10,80,4684,0.0714722
13.3333,80,4847,0.0739594
16.6667,80,4746,0.0724182
20,80,4920,0.0750732
23.3333,80,4914,0.0749817
26.6667,80,5120,0.078125
3.33333,100,6899,0.10527
6.66667,100,8255,0.125961
10,100,8540,0.13031
13.3333,100,8293,0.126541
16.6667,100,8202,0.125153
20,100,8430,0.128632
23.3333,100,8614,0.131439
26.6667,100,8816,0.134521
3.33333,120,16045,0.244827
6.66667,120,12937,0.197403
10,120,13462,0.205414
13.3333,120,12829,0.195755
16.6667,120,13188,0.201233
20,120,13246,0.202118
23.3333,120,13186,0.201202
26.6667,120,13367,0.203964
2.85714,0,783049,11.9484
5.71429,0,3672,0.0560303
8.57143,0,0,0
11.4286,0,0,0
14.2857,0,0,0
17.1429,0,0,0
20,0,0,0
22.8571,0,0,0
2.85714,20,349494,5.33286
5.71429,20,1783,0.0272064
8.57143,20,61,0.000930786
11.4286,20,73,0.00111389
14.2857,20,63,0.000961304
17.1429,20,70,0.00106812
20,20,73,0.00111389
22.8571,20,58,0.00088501
2.85714,40,628238,9.58615
5.71429,40,3610,0.0550842
8.57143,40,630,0.00961304
11.4286,40,690,0.0105286
14.2857,40,644,0.00982666
17.1429,40,676,0.0103149
20,40,781,0.0119171
22.8571,40,679,0.0103607
