tRCD in ns,retention,FehlerAbs,FehlerProzent
6,0,5260,0.0802612
8,0,0,0
10,0,0,0
12,0,0,0
14,0,0,0
16,0,0,0
2,20,5728800,87.4146
4,20,474670,7.24289
6,20,2377,0.0362701
8,20,61,0.000930786
10,20,61,0.000930786
12,20,55,0.000839233
14,20,57,0.000869751
16,20,53,0.000808716
2,40,5729335,87.4227
4,40,1201352,18.3312
6,40,4141,0.0631866
8,40,679,0.0103607
10,40,604,0.00921631
12,40,679,0.0103607
14,40,657,0.010025
16,40,711,0.010849
2,60,5729480,87.4249
4,60,1226665,18.7174
6,60,9532,0.145447
8,60,1954,0.0298157
10,60,2107,0.0321503
12,60,2075,0.031662
14,60,2065,0.0315094
16,60,2356,0.0359497
2,80,5730282,87.4372
4,80,1506201,22.9828
6,80,11099,0.169357
8,80,4275,0.0652313
10,80,4311,0.0657806
12,80,4315,0.0658417
14,80,4305,0.0656891
16,80,4413,0.067337
2,100,5731676,87.4584
4,100,1932616,29.4894
6,100,16505,0.251846
8,100,7457,0.113785
10,100,7430,0.113373
12,100,7323,0.11174
14,100,7875,0.120163
16,100,7995,0.121994
2,120,5731366,87.4537
4,120,2026227,30.9178
6,120,21003,0.32048
8,120,11760,0.179443
10,120,11686,0.178314
12,120,11369,0.173477
14,120,11571,0.176559
16,120,11731,0.179001
