Number of devices: 0
The FPGA has been opened successfully! 
Activating AutoRefresh. tREFI: 39, tRFC: 104 
Setting clock Speed to:
Starting Basic Read/Write Test! 
The test has been completed! 
Number of devices: 0
The FPGA has been opened successfully! 
Activating AutoRefresh. tREFI: 39, tRFC: 104 
Setting clock Speed to:
Starting Basic Read/Write Test! 
Error at Col: 100, Row: 0, Bank: 0, DATA: 36 
Error at Col: 101, Row: 0, Bank: 0, DATA: 56 
Error at Col: 102, Row: 0, Bank: 0, DATA: 0 
Error at Col: 103, Row: 0, Bank: 0, DATA: 0 
Error at Col: 48, Row: 0, Bank: 0, DATA: 80 
Error at Col: 49, Row: 0, Bank: 0, DATA: fe 
Error at Col: 50, Row: 0, Bank: 0, DATA: c9 
Error at Col: 51, Row: 0, Bank: 0, DATA: 81 
Error at Col: 52, Row: 0, Bank: 0, DATA: 36 
Error at Col: 53, Row: 0, Bank: 0, DATA: 56 
Error at Col: 54, Row: 0, Bank: 0, DATA: 0 
Error at Col: 55, Row: 0, Bank: 0, DATA: 0 
Error at Col: 56, Row: 0, Bank: 0, DATA: a0 
Error at Col: 57, Row: 0, Bank: 0, DATA: fe 
Error at Col: 58, Row: 0, Bank: 0, DATA: c9 
Error at Col: 59, Row: 0, Bank: 0, DATA: 81 
Error at Col: 60, Row: 0, Bank: 0, DATA: 36 
Error at Col: 61, Row: 0, Bank: 0, DATA: 56 
Error at Col: 62, Row: 0, Bank: 0, DATA: 0 
Error at Col: 63, Row: 0, Bank: 0, DATA: 0 
Error at Col: 64, Row: 0, Bank: 0, DATA: 40 
Error at Col: 65, Row: 0, Bank: 0, DATA: c9 
Error at Col: 66, Row: 0, Bank: 0, DATA: d5 
Error at Col: 67, Row: 0, Bank: 0, DATA: ea 
Error at Col: 69, Row: 0, Bank: 0, DATA: 7f 
Error at Col: 70, Row: 0, Bank: 0, DATA: 0 
Error at Col: 71, Row: 0, Bank: 0, DATA: 0 
Error at Col: 72, Row: 0, Bank: 0, DATA: d0 
Error at Col: 73, Row: 0, Bank: 0, DATA: c2 
Error at Col: 74, Row: 0, Bank: 0, DATA: ad 
Error at Col: 75, Row: 0, Bank: 0, DATA: 7f 
Error at Col: 76, Row: 0, Bank: 0, DATA: 36 
Error at Col: 77, Row: 0, Bank: 0, DATA: 56 
Error at Col: 78, Row: 0, Bank: 0, DATA: 0 
Error at Col: 79, Row: 0, Bank: 0, DATA: 0 
Error at Col: 80, Row: 0, Bank: 0, DATA: 70 
Error at Col: 81, Row: 0, Bank: 0, DATA: c9 
Error at Col: 82, Row: 0, Bank: 0, DATA: d5 
Error at Col: 83, Row: 0, Bank: 0, DATA: ea 
Error at Col: 85, Row: 0, Bank: 0, DATA: 7f 
Error at Col: 86, Row: 0, Bank: 0, DATA: 0 
Error at Col: 87, Row: 0, Bank: 0, DATA: 0 
Error at Col: 88, Row: 0, Bank: 0, DATA: 64 
Error at Col: 89, Row: 0, Bank: 0, DATA: 7a 
Error at Col: 90, Row: 0, Bank: 0, DATA: 3c 
Error at Col: 91, Row: 0, Bank: 0, DATA: 5d 
Error at Col: 93, Row: 0, Bank: 0, DATA: 7f 
Error at Col: 94, Row: 0, Bank: 0, DATA: 0 
Error at Col: 95, Row: 0, Bank: 0, DATA: 0 
Error at Col: 96, Row: 0, Bank: 0, DATA: 0 
Error at Col: 97, Row: 0, Bank: 0, DATA: 0 
Error at Col: 98, Row: 0, Bank: 0, DATA: 0 
Error at Col: 99, Row: 0, Bank: 0, DATA: 0 
Error at Col: 100, Row: 0, Bank: 0, DATA: 0 
Error at Col: 101, Row: 0, Bank: 0, DATA: 0 
Error at Col: 102, Row: 0, Bank: 0, DATA: 0 
Error at Col: 103, Row: 0, Bank: 0, DATA: 0 
Error at Col: 104, Row: 0, Bank: 0, DATA: 80 
Error at Col: 105, Row: 0, Bank: 0, DATA: fe 
Error at Col: 106, Row: 0, Bank: 0, DATA: c9 
Error at Col: 107, Row: 0, Bank: 0, DATA: 81 
Error at Col: 108, Row: 0, Bank: 0, DATA: 36 
Error at Col: 109, Row: 0, Bank: 0, DATA: 56 
Error at Col: 110, Row: 0, Bank: 0, DATA: 0 
Error at Col: 111, Row: 0, Bank: 0, DATA: 0 
Error at Col: 56, Row: 0, Bank: 0, DATA: 80 
Error at Col: 57, Row: 0, Bank: 0, DATA: fe 
Error at Col: 58, Row: 0, Bank: 0, DATA: c9 
Error at Col: 59, Row: 0, Bank: 0, DATA: 81 
