tRCD in ns,retention,FehlerAbs,FehlerProzent
3.33333,0,94870,1.4476
6.66667,0,14,0.000213623
10,0,0,0
13.3333,0,0,0
16.6667,0,0,0
20,0,0,0
23.3333,0,0,0
26.6667,0,0,0
3.33333,20,69126,1.05478
6.66667,20,72,0.00109863
10,20,90,0.00137329
13.3333,20,76,0.00115967
16.6667,20,107,0.00163269
20,20,99,0.00151062
23.3333,20,99,0.00151062
26.6667,20,573,0.00874329
3.33333,40,78755,1.20171
6.66667,40,996,0.0151978
10,40,962,0.014679
13.3333,40,960,0.0146484
16.6667,40,941,0.0143585
20,40,956,0.0145874
23.3333,40,1053,0.0160675
26.6667,40,1020,0.015564
3.33333,60,72996,1.11383
6.66667,60,2891,0.0441132
10,60,3057,0.0466461
13.3333,60,3135,0.0478363
16.6667,60,3369,0.0514069
20,60,3264,0.0498047
23.3333,60,3056,0.0466309
26.6667,60,3078,0.0469666
3.33333,80,72937,1.11293
6.66667,80,6587,0.10051
10,80,6468,0.0986938
13.3333,80,6062,0.0924988
16.6667,80,6552,0.0999756
20,80,6829,0.104202
23.3333,80,6748,0.102966
26.6667,80,6898,0.105255
3.33333,100,57856,0.882812
6.66667,100,10819,0.165085
10,100,10771,0.164352
13.3333,100,11457,0.17482
16.6667,100,11410,0.174103
20,100,10862,0.165741
23.3333,100,11263,0.17186
26.6667,100,11798,0.180023
3.33333,120,63268,0.965393
6.66667,120,17866,0.272614
10,120,17089,0.260757
13.3333,120,16075,0.245285
16.6667,120,17304,0.264038
20,120,17142,0.261566
23.3333,120,17325,0.264359
26.6667,120,17066,0.260406
2.85714,0,146847,2.24071
5.71429,0,440,0.00671387
8.57143,0,0,0
11.4286,0,0,0
14.2857,0,0,0
17.1429,0,0,0
20,0,0,0
22.8571,0,0,0
2.85714,20,140963,2.15092
5.71429,20,137,0.00209045
8.57143,20,67,0.00102234
11.4286,20,55,0.000839233
14.2857,20,75,0.00114441
17.1429,20,66,0.00100708
20,20,68,0.0010376
22.8571,20,630,0.00961304
2.85714,40,201505,3.07472
5.71429,40,1156,0.0176392
8.57143,40,849,0.0129547
11.4286,40,820,0.0125122
14.2857,40,839,0.0128021
17.1429,40,791,0.0120697
20,40,861,0.0131378
22.8571,40,846,0.0129089
2.85714,60,173900,2.6535
5.71429,60,3060,0.0466919
8.57143,60,2693,0.0410919
11.4286,60,2777,0.0423737
14.2857,60,2955,0.0450897
17.1429,60,2887,0.0440521
20,60,2735,0.0417328
22.8571,60,2778,0.0423889
2.85714,80,155001,2.36513
5.71429,80,6351,0.0969086
8.57143,80,5986,0.0913391
11.4286,80,5627,0.0858612
14.2857,80,6089,0.0929108
17.1429,80,6364,0.0971069
20,80,6298,0.0960999
22.8571,80,6416,0.0979004
2.85714,100,159006,2.42624
5.71429,100,10472,0.15979
8.57143,100,10155,0.154953
11.4286,100,10784,0.164551
14.2857,100,10755,0.164108
17.1429,100,10278,0.15683
20,100,10656,0.162598
22.8571,100,11136,0.169922
2.85714,120,145741,2.22383
5.71429,120,16952,0.258667
8.57143,120,16274,0.248322
11.4286,120,15333,0.233963
14.2857,120,16461,0.251175
17.1429,120,16326,0.249115
20,120,16594,0.253204
22.8571,120,16274,0.248322
2.5,0,145245,2.21626
5,0,470,0.00717163
7.5,0,0,0
10,0,0,0
12.5,0,0,0
15,0,0,0
17.5,0,0,0
20,0,0,0
2.5,20,142680,2.17712
5,20,124,0.00189209
7.5,20,70,0.00106812
10,20,58,0.00088501
12.5,20,78,0.00119019
15,20,66,0.00100708
17.5,20,71,0.00108337
20,20,637,0.00971985
2.5,40,206567,3.15196
5,40,1143,0.0174408
7.5,40,859,0.0131073
