tRCD in ns,retention,FehlerAbs,FehlerProzent
3.33333,0,18501653,55.1392
6.66667,0,0,0
10,0,0,0
13.3333,0,5,1.49012e-05
16.6667,0,12,3.57628e-05
20,0,31,9.23872e-05
23.3333,0,44,0.00013113
26.6667,0,90,0.000268221
3.33333,20,23730695,70.723
6.66667,20,7013,0.0209004
10,20,7700,0.0229478
13.3333,20,8647,0.0257701
16.6667,20,9575,0.0285357
20,20,10641,0.0317127
23.3333,20,12106,0.0360787
26.6667,20,13211,0.0393718
3.33333,40,18867058,56.2282
6.66667,40,31079,0.0926226
10,40,32241,0.0960857
13.3333,40,33121,0.0987083
16.6667,40,33106,0.0986636
20,40,33366,0.0994384
23.3333,40,34108,0.10165
26.6667,40,33877,0.100961
3.33333,60,24175466,72.0485
6.66667,60,34908,0.104034
10,60,34739,0.10353
13.3333,60,34935,0.104114
16.6667,60,34498,0.102812
20,60,35074,0.104529
23.3333,60,35380,0.105441
26.6667,60,34827,0.103793
3.33333,80,18917018,56.3771
6.66667,80,31655,0.0943393
10,80,32771,0.0976652
13.3333,80,33689,0.100401
16.6667,80,33647,0.100276
20,80,33849,0.100878
23.3333,80,34643,0.103244
26.6667,80,34453,0.102678
2.85714,0,18508237,55.1588
5.71429,0,0,0
8.57143,0,0,0
11.4286,0,5,1.49012e-05
14.2857,0,12,3.57628e-05
17.1429,0,31,9.23872e-05
20,0,42,0.00012517
22.8571,0,86,0.0002563
2.85714,20,23685837,70.5893
5.71429,20,6942,0.0206888
8.57143,20,7615,0.0226945
11.4286,20,8599,0.025627
14.2857,20,9508,0.028336
17.1429,20,10608,0.0316143
20,20,12056,0.0359297
22.8571,20,13174,0.0392616
2.85714,40,18846280,56.1663
5.71429,40,31094,0.0926673
8.57143,40,32189,0.0959307
11.4286,40,33020,0.0984073
14.2857,40,33001,0.0983506
17.1429,40,33247,0.0990838
20,40,34024,0.101399
22.8571,40,33807,0.100753
2.85714,60,24170359,72.0333
5.71429,60,34776,0.103641
8.57143,60,34521,0.102881
11.4286,60,34726,0.103492
14.2857,60,34325,0.102296
17.1429,60,34807,0.103733
20,60,35122,0.104672
22.8571,60,34669,0.103322
2.85714,80,18881607,56.2716
5.71429,80,31637,0.0942856
8.57143,80,32729,0.09754
11.4286,80,33644,0.100267
14.2857,80,33695,0.100419
17.1429,80,33948,0.101173
20,80,34686,0.103372
22.8571,80,34557,0.102988
2.5,0,18546562,55.2731
5,0,0,0
7.5,0,1,2.98023e-06
10,0,5,1.49012e-05
12.5,0,12,3.57628e-05
15,0,31,9.23872e-05
17.5,0,42,0.00012517
20,0,87,0.00025928
2.5,20,23685397,70.588
5,20,6941,0.0206858
7.5,20,7586,0.022608
10,20,8548,0.025475
12.5,20,9443,0.0281423
15,20,10531,0.0313848
17.5,20,11956,0.0356317
20,20,13076,0.0389695
2.5,40,18812767,56.0664
5,40,30601,0.0911981
7.5,40,31663,0.0943631
10,40,32464,0.0967503
12.5,40,32457,0.0967294
15,40,32712,0.0974894
17.5,40,33489,0.099805
20,40,33303,0.0992507
2.5,60,24158707,71.9986
5,60,34091,0.101599
7.5,60,33966,0.101227
10,60,34187,0.101885
12.5,60,33796,0.10072
15,60,34254,0.102085
17.5,60,34569,0.103024
20,60,34068,0.101531
2.5,80,18886376,56.2858
5,80,31176,0.0929117
7.5,80,32266,0.0961602
10,80,33199,0.0989407
12.5,80,33201,0.0989467
15,80,33453,0.0996977
17.5,80,34289,0.102189
20,80,34084,0.101578
2.22222,0,18535398,55.2398
4.44444,0,0,0
6.66667,0,1,2.98023e-06
8.88889,0,6,1.78814e-05
11.1111,0,12,3.57628e-05
13.3333,0,31,9.23872e-05
15.5556,0,44,0.00013113
17.7778,0,90,0.000268221
2.22222,20,23724794,70.7054
4.44444,20,7137,0.0212699
6.66667,20,7844,0.0233769
8.88889,20,8817,0.0262767
11.1111,20,9766,0.0291049
13.3333,20,10896,0.0324726
15.5556,20,12436,0.0370622
17.7778,20,13523,0.0403017
2.22222,40,18874813,56.2513
4.44444,40,31369,0.0934869
6.66667,40,32402,0.0965655
8.88889,40,33311,0.0992745
11.1111,40,33301,0.0992447
13.3333,40,33549,0.0999838
15.5556,40,34292,0.102198
17.7778,40,34168,0.101829
2.22222,60,24169908,72.0319
4.44444,60,34740,0.103533
6.66667,60,34566,0.103015
8.88889,60,34701,0.103417
11.1111,60,34273,0.102141
13.3333,60,34729,0.1035
15.5556,60,35047,0.104448
17.7778,60,34555,0.102982
2.22222,80,18862964,56.216
4.44444,80,31570,0.0940859
6.66667,80,32584,0.0971079
8.88889,80,33550,0.0999868
11.1111,80,33581,0.100079
13.3333,80,33747,0.100574
15.5556,80,34528,0.102901
17.7778,80,34431,0.102612
2,0,18511017,55.1671
4,0,0,0
6,0,1,2.98023e-06
8,0,5,1.49012e-05
10,0,12,3.57628e-05
12,0,31,9.23872e-05
14,0,45,0.00013411
16,0,87,0.00025928
2,20,23716463,70.6806
4,20,7070,0.0210702
6,20,7771,0.0231594
8,20,8752,0.026083
10,20,9656,0.0287771
12,20,10740,0.0320077
14,20,12221,0.0364214
16,20,13295,0.0396222
2,40,18890292,56.2975
4,40,31079,0.0926226
6,40,32106,0.0956833
8,40,33007,0.0983685
10,40,32956,0.0982165
12,40,33111,0.0986785
14,40,33933,0.101128
16,40,33739,0.10055
2,60,24176254,72.0508
4,60,34553,0.102976
6,60,34403,0.102529
8,60,34573,0.103036
10,60,34169,0.101832
12,60,34729,0.1035
