Col,20,40,60,80,100,120
50,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
51,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
52,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
53,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,fffffeffffffffff,fffffeffffffffff,fffffeffffffffff
54,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
55,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
56,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,fdffffffffffffff,fdffffffffffffff
57,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffff7fffffff,ffffffff7fffffff,ffffffff7fffffff
58,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
59,ffffffffffffffff,ffffffffffffffff,dfffffffffffffff,dfffffffffffffff,dfffffffffffffff,dfffffffffffffff
60,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,fdffffffffffffff,fdffffffffffffff
61,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
62,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
63,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
64,ffffffffffffffff,ffffffffffffffff,ffffffefffffffff,ffffffefffffffff,ffffffefffffffff,ff7fffefffffffff
65,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffefffffff,ffffffffefffffff,ffffffffefffffff
66,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
67,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
68,ffffffffffffffff,ffffffffffffffff,ffffffefffffffff,ffffffefffffffff,ffffffefffffffff,ff7fffefffffffff
69,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,f7ffffffffffffff,f7ffffffffffffff
70,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,fff7ffffffffffff,fff7ffffffffffff
71,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
72,ffffffffffffffff,ffffffffffffffff,fff7fffffdffffff,fff7fffffdffffff,fff7fffffdffffff,fff7fffffdffffff
73,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
74,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
75,ffffffffffffffff,ffffffffffffffff,fffff7ffffffffff,fffff7ffffffffff,7ffdf7ffffffffff,7ffdf7ffffffffff
76,ffffffffffffffff,ffffffffffffffff,fff7fffffdffffff,fff7fffffdffffff,fff7fffffdffffff,fff7fffffdffffff
77,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffff7fffffffff
78,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
79,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
80,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,fffffffffeffffff
81,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffff7fff,ffffffffffff7fff,ffffffffffff7fff
82,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
83,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,fffffffffffeffff,fffffffffffeffff
84,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,fffffffffeffffff
85,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
86,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,fdffffffffffffff
87,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffbfffff,ffffffff7fbfffff
88,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
89,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
90,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffdfffffff
91,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,fffffbffffffffff
92,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
93,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
94,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
95,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
96,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
97,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
98,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffff7fff,ffdffff7ffff7fff,ffdffff7ffff7fff
