tRCD in ns,retention,FehlerAbs,FehlerProzent
2.85714,0,2406308,7.17136
5.71429,0,0,0
8.57143,0,0,0
11.4286,0,0,0
14.2857,0,0,0
17.1429,0,1,2.98023e-06
20,0,0,0
22.8571,0,0,0
2.85714,20,2862044,8.52956
5.71429,20,20,5.96046e-05
8.57143,20,20,5.96046e-05
11.4286,20,43,0.00012815
14.2857,20,33,9.83477e-05
17.1429,20,79,0.000235438
20,20,68,0.000202656
22.8571,20,81,0.000241399
2.85714,40,4185412,12.4735
5.71429,40,241,0.000718236
8.57143,40,255,0.000759959
11.4286,40,209,0.000622869
14.2857,40,257,0.00076592
17.1429,40,274,0.000816584
20,40,248,0.000739098
22.8571,40,259,0.00077188
2.85714,60,4302958,12.8238
5.71429,60,252,0.000751019
8.57143,60,244,0.000727177
11.4286,60,273,0.000813603
14.2857,60,249,0.000742078
17.1429,60,273,0.000813603
20,60,281,0.000837445
22.8571,60,285,0.000849366
2.85714,80,4297646,12.808
5.71429,80,255,0.000759959
8.57143,80,260,0.00077486
11.4286,80,223,0.000664592
14.2857,80,277,0.000825524
17.1429,80,284,0.000846386
20,80,253,0.000753999
22.8571,80,268,0.000798702
2.5,0,2404647,7.16641
5,0,0,0
7.5,0,0,0
10,0,0,0
12.5,0,0,0
15,0,1,2.98023e-06
17.5,0,0,0
20,0,0,0
2.5,20,2844315,8.47672
5,20,20,5.96046e-05
7.5,20,17,5.06639e-05
10,20,43,0.00012815
12.5,20,32,9.53674e-05
15,20,77,0.000229478
17.5,20,63,0.000187755
20,20,76,0.000226498
2.5,40,4186017,12.4753
5,40,229,0.000682473
7.5,40,248,0.000739098
10,40,200,0.000596046
12.5,40,252,0.000751019
15,40,262,0.000780821
17.5,40,234,0.000697374
20,40,247,0.000736117
2.5,60,4332839,12.9129
5,60,247,0.000736117
7.5,60,237,0.000706315
10,60,270,0.000804663
12.5,60,241,0.000718236
15,60,265,0.000789762
17.5,60,282,0.000840425
20,60,276,0.000822544
2.5,80,4296488,12.8045
5,80,241,0.000718236
7.5,80,253,0.000753999
10,80,212,0.000631809
12.5,80,272,0.000810623
15,80,281,0.000837445
17.5,80,248,0.000739098
20,80,265,0.000789762
2.22222,0,2402125,7.15889
4.44444,0,0,0
6.66667,0,0,0
8.88889,0,0,0
11.1111,0,0,0
13.3333,0,1,2.98023e-06
15.5556,0,0,0
17.7778,0,0,0
2.22222,20,2854981,8.50851
4.44444,20,21,6.25849e-05
6.66667,20,23,6.85453e-05
8.88889,20,47,0.000140071
11.1111,20,40,0.000119209
13.3333,20,84,0.00025034
15.5556,20,74,0.000220537
17.7778,20,89,0.000265241
2.22222,40,4167592,12.4204
4.44444,40,258,0.0007689
6.66667,40,261,0.000777841
8.88889,40,214,0.00063777
11.1111,40,269,0.000801682
13.3333,40,275,0.000819564
15.5556,40,245,0.000730157
17.7778,40,266,0.000792742
2.22222,60,4318395,12.8698
4.44444,60,258,0.0007689
6.66667,60,250,0.000745058
8.88889,60,271,0.000807643
11.1111,60,251,0.000748038
13.3333,60,272,0.000810623
15.5556,60,280,0.000834465
17.7778,60,272,0.000810623
2.22222,80,4298450,12.8104
4.44444,80,259,0.00077188
6.66667,80,261,0.000777841
8.88889,80,216,0.00064373
11.1111,80,271,0.000807643
13.3333,80,278,0.000828505
15.5556,80,246,0.000733137
17.7778,80,266,0.000792742
2,0,2395480,7.13909
4,0,0,0
6,0,0,0
8,0,0,0
10,0,0,0
12,0,1,2.98023e-06
14,0,0,0
16,0,0,0
2,20,2838186,8.45845
4,20,20,5.96046e-05
6,20,21,6.25849e-05
8,20,45,0.00013411
10,20,35,0.000104308
12,20,80,0.000238419
14,20,68,0.000202656
16,20,83,0.000247359
2,40,4168806,12.424
4,40,242,0.000721216
6,40,256,0.000762939
8,40,216,0.00064373
10,40,280,0.000834465
12,40,280,0.000834465
14,40,251,0.000748038
16,40,265,0.000789762
2,60,4316893,12.8653
4,60,260,0.00077486
6,60,253,0.000753999
8,60,281,0.000837445
10,60,257,0.00076592
12,60,281,0.000837445
14,60,285,0.000849366
16,60,280,0.000834465
2,80,4304265,12.8277
4,80,252,0.000751019
6,80,259,0.00077188
8,80,217,0.00064671
10,80,281,0.000837445
12,80,281,0.000837445
14,80,251,0.000748038
16,80,266,0.000792742
