tRCD,retention,FehlerAbs,FehlerProzent
6,20,713,0.0108795
8,20,1,1.52588e-05
10,20,0,0
12,20,1,1.52588e-05
14,20,1,1.52588e-05
16,20,0,0
2,40,5708027,87.0976
4,40,501273,7.64882
6,40,896,0.0136719
8,40,9,0.000137329
10,40,11,0.000167847
12,40,14,0.000213623
14,40,11,0.000167847
16,40,10,0.000152588
2,60,5711431,87.1495
4,60,520425,7.94106
6,60,3342,0.0509949
8,60,45,0.000686646
10,60,45,0.000686646
12,60,58,0.00088501
14,60,43,0.000656128
16,60,52,0.000793457
2,80,5707334,87.087
4,80,598700,9.13544
6,80,2433,0.0371246
8,80,114,0.0017395
10,80,120,0.00183105
12,80,135,0.00205994
14,80,141,0.00215149
16,80,158,0.00241089
2,100,5711114,87.1447
4,100,1009739,15.4074
6,100,4822,0.0735779
8,100,291,0.00444031
10,100,274,0.00418091
12,100,300,0.00457764
14,100,303,0.00462341
16,100,300,0.00457764
2,120,5709240,87.1161
4,120,844042,12.8791
6,120,4612,0.0703735
8,120,475,0.00724792
10,120,429,0.00654602
12,120,474,0.00723267
14,120,496,0.00756836
16,120,483,0.00737
