tRCD in ns,retention,FehlerAbs,FehlerProzent
14,0,0,0
16,0,0,0
2,20,2565243,39.1425
4,20,139059,2.12187
6,20,1660,0.0253296
8,20,1793,0.027359
10,20,1924,0.0293579
12,20,1864,0.0284424
14,20,2039,0.0311127
16,20,2882,0.0439758
2,40,2538088,38.7281
4,40,202538,3.09048
6,40,11805,0.18013
8,40,12114,0.184845
10,40,11733,0.179031
12,40,12030,0.183563
14,40,12562,0.191681
16,40,12756,0.194641
2,60,212605,3.24409
4,60,175569,2.67897
6,60,30536,0.465942
8,60,32556,0.496765
10,60,33371,0.509201
12,60,32780,0.500183
14,60,31383,0.478867
16,60,31776,0.484863
2,80,194162,2.96268
4,80,170198,2.59702
6,80,55688,0.849731
8,80,55281,0.843521
10,80,58484,0.892395
12,80,60641,0.925308
14,80,61154,0.933136
16,80,61248,0.93457
2,100,2558491,39.0395
4,100,170244,2.59772
6,100,86239,1.3159
8,100,90044,1.37396
10,100,90050,1.37405
12,100,87277,1.33174
14,100,89587,1.36699
16,100,93509,1.42683
2,120,2652233,40.4699
4,120,161565,2.46529
6,120,118767,1.81224
8,120,117228,1.78876
10,120,122419,1.86797
12,120,124730,1.90323
14,120,124262,1.89609
16,120,121762,1.85794
