tRCD in ns,retention,FehlerAbs,FehlerProzent
3.33333,0,10872639,32.403
6.66667,0,0,0
10,0,0,0
13.3333,0,0,0
16.6667,0,0,0
20,0,0,0
23.3333,0,0,0
26.6667,0,1,2.98023e-06
3.33333,20,17225578,51.3362
6.66667,20,76,0.000226498
10,20,79,0.000235438
13.3333,20,90,0.000268221
16.6667,20,108,0.000321865
20,20,122,0.000363588
23.3333,20,138,0.000411272
26.6667,20,138,0.000411272
3.33333,40,11276470,33.6065
6.66667,40,538,0.00160336
10,40,590,0.00175834
13.3333,40,582,0.0017345
16.6667,40,567,0.00168979
20,40,584,0.00174046
23.3333,40,529,0.00157654
26.6667,40,586,0.00174642
3.33333,60,18013963,53.6858
6.66667,60,621,0.00185072
10,60,561,0.00167191
13.3333,60,569,0.00169575
16.6667,60,559,0.00166595
20,60,591,0.00176132
23.3333,60,603,0.00179708
26.6667,60,594,0.00177026
3.33333,80,11313641,33.7173
6.66667,80,570,0.00169873
10,80,661,0.00196993
13.3333,80,659,0.00196397
16.6667,80,622,0.0018537
20,80,683,0.0020355
23.3333,80,697,0.00207722
26.6667,80,690,0.00205636
2.85714,0,10790981,32.1596
5.71429,0,0,0
8.57143,0,0,0
11.4286,0,0,0
14.2857,0,0,0
17.1429,0,0,0
20,0,0,0
22.8571,0,1,2.98023e-06
2.85714,20,17171154,51.174
5.71429,20,75,0.000223517
8.57143,20,79,0.000235438
11.4286,20,84,0.00025034
14.2857,20,105,0.000312924
17.1429,20,131,0.00039041
20,20,142,0.000423193
22.8571,20,153,0.000455976
2.85714,40,11265011,33.5723
5.71429,40,567,0.00168979
8.57143,40,618,0.00184178
11.4286,40,628,0.00187159
14.2857,40,595,0.00177324
17.1429,40,642,0.00191331
20,40,611,0.00182092
22.8571,40,627,0.00186861
2.85714,60,18016370,53.693
5.71429,60,719,0.00214279
8.57143,60,626,0.00186563
11.4286,60,655,0.00195205
14.2857,60,645,0.00192225
17.1429,60,665,0.00198185
20,60,700,0.00208616
22.8571,60,664,0.00197887
2.85714,80,11277142,33.6085
5.71429,80,596,0.00177622
8.57143,80,644,0.00191927
11.4286,80,633,0.00188649
14.2857,80,600,0.00178814
17.1429,80,649,0.00193417
20,80,624,0.00185966
22.8571,80,644,0.00191927
2.5,0,10846218,32.3242
5,0,0,0
7.5,0,0,0
10,0,0,0
12.5,0,0,0
15,0,0,0
17.5,0,0,0
20,0,1,2.98023e-06
2.5,20,17169565,51.1693
5,20,77,0.000229478
7.5,20,82,0.000244379
10,20,97,0.000289083
12.5,20,115,0.000342727
15,20,144,0.000429153
17.5,20,150,0.000447035
20,20,154,0.000458956
2.5,40,11272879,33.5958
5,40,576,0.00171661
7.5,40,618,0.00184178
10,40,598,0.00178218
12.5,40,568,0.00169277
15,40,614,0.00182986
17.5,40,573,0.00170767
20,40,634,0.00188947
2.5,60,17983265,53.5943
5,60,677,0.00201762
7.5,60,599,0.00178516
10,60,603,0.00179708
12.5,60,573,0.00170767
15,60,599,0.00178516
17.5,60,614,0.00182986
20,60,596,0.00177622
2.5,80,11289097,33.6441
5,80,585,0.00174344
7.5,80,637,0.00189841
10,80,637,0.00189841
12.5,80,599,0.00178516
15,80,639,0.00190437
17.5,80,629,0.00187457
20,80,650,0.00193715
2.22222,0,10791944,32.1625
4.44444,0,0,0
6.66667,0,0,0
8.88889,0,0,0
11.1111,0,0,0
13.3333,0,0,0
15.5556,0,0,0
17.7778,0,1,2.98023e-06
2.22222,20,17159096,51.1381
4.44444,20,76,0.000226498
6.66667,20,78,0.000232458
8.88889,20,85,0.00025332
11.1111,20,107,0.000318885
13.3333,20,129,0.00038445
15.5556,20,144,0.000429153
17.7778,20,145,0.000432134
2.22222,40,11230222,33.4687
4.44444,40,563,0.00167787
6.66667,40,625,0.00186265
8.88889,40,624,0.00185966
11.1111,40,608,0.00181198
13.3333,40,676,0.00201464
15.5556,40,675,0.00201166
17.7778,40,703,0.0020951
2.22222,60,17977969,53.5785
4.44444,60,773,0.00230372
6.66667,60,677,0.00201762
8.88889,60,722,0.00215173
11.1111,60,672,0.00200272
13.3333,60,697,0.00207722
15.5556,60,723,0.00215471
17.7778,60,690,0.00205636
2.22222,80,11302871,33.6852
4.44444,80,607,0.001809
6.66667,80,646,0.00192523
8.88889,80,631,0.00188053
11.1111,80,610,0.00181794
13.3333,80,677,0.00201762
15.5556,80,675,0.00201166
17.7778,80,706,0.00210404
2,0,10796016,32.1746
4,0,0,0
6,0,0,0
8,0,0,0
10,0,0,0
12,0,0,0
14,0,0,0
16,0,1,2.98023e-06
2,20,17171384,51.1747
4,20,70,0.000208616
6,20,74,0.000220537
8,20,82,0.000244379
10,20,97,0.000289083
12,20,119,0.000354648
14,20,125,0.000372529
16,20,130,0.00038743
2,40,11239131,33.4952
4,40,515,0.00153482
6,40,575,0.00171363
8,40,565,0.00168383
10,40,521,0.0015527
12,40,578,0.00172257
14,40,554,0.00165105
16,40,606,0.00180602
2,60,17988737,53.6106
4,60,644,0.00191927
6,60,567,0.00168979
8,60,591,0.00176132
10,60,566,0.00168681
12,60,603,0.00179708
14,60,622,0.0018537
16,60,622,0.0018537
2,80,11295203,33.6623
4,80,590,0.00175834
6,80,642,0.00191331
8,80,625,0.00186265
10,80,608,0.00181198
12,80,630,0.00187755
14,80,575,0.00171363
16,80,617,0.0018388
