tRCD in ns,retention,FehlerAbs,FehlerProzent
3.33333,0,2472852,7.36967
6.66667,0,0,0
10,0,0,0
13.3333,0,0,0
16.6667,0,0,0
20,0,1,2.98023e-06
23.3333,0,2,5.96046e-06
26.6667,0,0,0
3.33333,20,3181190,9.48069
6.66667,20,114,0.000339746
10,20,119,0.000354648
13.3333,20,163,0.000485778
16.6667,20,167,0.000497699
20,20,236,0.000703335
23.3333,20,261,0.000777841
26.6667,20,293,0.000873208
3.33333,40,4235573,12.623
6.66667,40,879,0.00261962
10,40,847,0.00252426
13.3333,40,856,0.00255108
16.6667,40,890,0.00265241
20,40,919,0.00273883
23.3333,40,850,0.0025332
26.6667,40,964,0.00287294
3.33333,60,4437995,13.2263
6.66667,60,1030,0.00306964
10,60,963,0.00286996
13.3333,60,1001,0.00298321
16.6667,60,1031,0.00307262
20,60,1006,0.00299811
23.3333,60,1014,0.00302196
26.6667,60,1060,0.00315905
3.33333,80,4351356,12.9681
6.66667,80,951,0.0028342
10,80,909,0.00270903
13.3333,80,917,0.00273287
16.6667,80,975,0.00290573
20,80,990,0.00295043
23.3333,80,956,0.0028491
26.6667,80,1042,0.0031054
2.85714,0,2467223,7.3529
5.71429,0,0,0
8.57143,0,0,0
11.4286,0,0,0
14.2857,0,0,0
17.1429,0,1,2.98023e-06
20,0,2,5.96046e-06
22.8571,0,0,0
2.85714,20,3170834,9.44982
5.71429,20,116,0.000345707
8.57143,20,128,0.00038147
11.4286,20,170,0.000506639
14.2857,20,176,0.000524521
17.1429,20,242,0.000721216
20,20,279,0.000831485
22.8571,20,309,0.000920892
2.85714,40,4243353,12.6462
5.71429,40,930,0.00277162
8.57143,40,879,0.00261962
11.4286,40,876,0.00261068
14.2857,40,934,0.00278354
17.1429,40,979,0.00291765
20,40,902,0.00268817
22.8571,40,1025,0.00305474
2.85714,60,4408345,13.1379
5.71429,60,1042,0.0031054
8.57143,60,954,0.00284314
11.4286,60,988,0.00294447
14.2857,60,1027,0.0030607
17.1429,60,982,0.00292659
20,60,967,0.00288188
22.8571,60,1019,0.00303686
2.85714,80,4354814,12.9784
5.71429,80,936,0.0027895
8.57143,80,886,0.00264049
11.4286,80,880,0.0026226
14.2857,80,937,0.00279248
17.1429,80,984,0.00293255
20,80,907,0.00270307
22.8571,80,1028,0.00306368
2.5,0,2457420,7.32368
5,0,0,0
7.5,0,0,0
10,0,0,0
12.5,0,0,0
15,0,1,2.98023e-06
17.5,0,2,5.96046e-06
20,0,0,0
2.5,20,3172132,9.45369
5,20,104,0.000309944
7.5,20,115,0.000342727
10,20,161,0.000479817
12.5,20,146,0.000435114
15,20,212,0.000631809
17.5,20,252,0.000751019
20,20,277,0.000825524
2.5,40,4250373,12.6671
5,40,894,0.00266433
7.5,40,862,0.00256896
10,40,893,0.00266135
12.5,40,946,0.0028193
15,40,998,0.00297427
17.5,40,948,0.00282526
20,40,1048,0.00312328
2.5,60,4406934,13.1337
5,60,1076,0.00320673
7.5,60,982,0.00292659
10,60,1027,0.0030607
12.5,60,1100,0.00327826
15,60,1062,0.00316501
17.5,60,1060,0.00315905
20,60,1086,0.00323653
2.5,80,4353679,12.975
5,80,975,0.00290573
7.5,80,946,0.0028193
10,80,949,0.00282824
12.5,80,990,0.00295043
15,80,1008,0.00300407
17.5,80,957,0.00285208
20,80,1054,0.00314116
2.22222,0,2454930,7.31626
4.44444,0,0,0
6.66667,0,0,0
8.88889,0,0,0
11.1111,0,0,0
13.3333,0,1,2.98023e-06
15.5556,0,2,5.96046e-06
17.7778,0,0,0
2.22222,20,3167490,9.43986
4.44444,20,100,0.000298023
6.66667,20,107,0.000318885
8.88889,20,156,0.000464916
11.1111,20,146,0.000435114
13.3333,20,211,0.000628829
15.5556,20,255,0.000759959
17.7778,20,266,0.000792742
2.22222,40,4234823,12.6208
4.44444,40,858,0.00255704
6.66667,40,825,0.00245869
8.88889,40,813,0.00242293
11.1111,40,869,0.00258982
13.3333,40,887,0.00264347
15.5556,40,840,0.0025034
17.7778,40,962,0.00286698
2.22222,60,4428081,13.1967
4.44444,60,1048,0.00312328
6.66667,60,960,0.00286102
8.88889,60,1008,0.00300407
11.1111,60,1108,0.0033021
13.3333,60,1061,0.00316203
15.5556,60,1041,0.00310242
17.7778,60,1096,0.00326633
2.22222,80,4348994,12.961
4.44444,80,969,0.00288785
6.66667,80,927,0.00276268
8.88889,80,969,0.00288785
11.1111,80,1008,0.00300407
13.3333,80,1031,0.00307262
15.5556,80,965,0.00287592
17.7778,80,1046,0.00311732
2,0,2450907,7.30427
4,0,0,0
6,0,0,0
8,0,0,0
10,0,0,0
12,0,1,2.98023e-06
14,0,2,5.96046e-06
16,0,0,0
2,20,3157864,9.41117
4,20,109,0.000324845
6,20,123,0.000366569
8,20,174,0.00051856
10,20,180,0.000536442
12,20,239,0.000712276
14,20,282,0.000840425
16,20,310,0.000923872
2,40,4236555,12.6259
4,40,953,0.00284016
6,40,919,0.00273883
8,40,916,0.00272989
10,40,963,0.00286996
12,40,1024,0.00305176
14,40,946,0.0028193
16,40,1021,0.00304282
2,60,4426227,13.1912
4,60,1041,0.00310242
6,60,958,0.00285506
8,60,956,0.0028491
10,60,1015,0.00302494
12,60,971,0.00289381
14,60,945,0.00281632
16,60,1007,0.00300109
2,80,4346761,12.9544
4,80,957,0.00285208
6,80,923,0.00275075
8,80,923,0.00275075
10,80,966,0.0028789
12,80,1026,0.00305772
14,80,949,0.00282824
16,80,1027,0.0030607
